Qty,Value,Reference,Package,LCSC Part Number
1,AA,BT1,Holder_Battery_AA,C5370863
5,1uF,C1,C2,C3,C4,C6,0603,C15849
1,10uF,C5,0603,C19702
2,Red,D1,D3,0603,C2286
1,Green,D2,0603,C12624
1,IR,D4,5mm,C5130
1,USB C,J1,USBC_16PIN,C2894897
2,5.1k,R1,R2,0603,C23186
5,1k,R3,R5,R6,R7,R8,0603,C21190
1,10k,R4,0603,C25804
2,Tactile,SW1,SW2,SW_6x6MM_4PIN_RA,C2845275
4,Tactile,SW3,SW4,SW5,SW6,SW_6x6MM_4PIN,C2845253
1,SP4T,SW7,SW_SP4T_6PIN_P2MM_RA,C22435626
1,SPDT,SW8,SW_SPDT_3PIN_P2MM_RA,C22435621
1,BQ21040,U1,SOT-23-6,C202311
1,RT9078,U2,TSOT-23-5,C110427
1,MSPM0L1304,U3,VSSOP-20,C22362611
